,제목,링크,인분,시간,난이도,재료,양념,이미지 링크
21,"팽이버섯덮밥:초초초간단 그러나, 더 없이 훌륭한 한끼",https://www.10000recipe.com/recipe/6842114,2,10,아무나,팽이버섯 양파 대파 계란 참기름 통깨 식용유 후추,양조간장 맛술 육수,https://recipe1.ezmember.co.kr/cache/recipe/2016/01/26/793d64f053cd6e3be138ca8cbbaed8f01.jpg
22,초간단 반찬 브로콜리 새우볶음 만들기,https://www.10000recipe.com/recipe/6948689,3,15,아무나,브로콜리 빨강 파프리카 냉동 새우 다진마늘 맛술 굴소스 후추 참기름 소금 노랑파프리카,,https://recipe1.ezmember.co.kr/cache/recipe/2020/12/17/bce8313c07bbc576d3c5afff0031f4681.jpg
23,딱 10분이면 완성! 초간단 애호박덮밥,https://www.10000recipe.com/recipe/6886567,1,10,아무나,밥 애호박 양파 기름 고추기름 다진파 참기름,고춧가루 고추장.5T 간장 물 굴소스 다진마늘.5T 후추,https://recipe1.ezmember.co.kr/cache/recipe/2018/04/02/66156603476fcaebb89569b4593758ed1.jpg
24,간단하게~ 양송이 버섯 덮밥,https://www.10000recipe.com/recipe/6883228,4,30,아무나,양송이 버섯 잔파 다진마늘 물 간장 굴소스 설탕 후춧가루 참기름 소금 통깨,전분 물,https://recipe1.ezmember.co.kr/cache/recipe/2018/02/01/7518b72bfc4fc06d05cdc72986709c721.jpg
25,원팬으로 10분이면 뚝딱!! 초간단 버섯당면볶음 입니다~^^,https://www.10000recipe.com/recipe/6930296,1,20,아무나,당면 표고버섯 청량고추 대파 다진마늘 식용유,간장 굴소스 매실청 또는 올리고당 후추 맛술 참기름,https://recipe1.ezmember.co.kr/cache/recipe/2020/04/08/cadca86dc0eba4b586a6b307dda2eee71.jpg
26,고소함이 남다른 백종원 '들기름계란후라이'초간단 레시피,https://www.10000recipe.com/recipe/6898369,2,10,아무나,계란 들기름 대파 국간장 통깨,,https://recipe1.ezmember.co.kr/cache/recipe/2018/10/21/908b60f6bd193e12eef66238ec166a5f1.jpg
27,저녁반찬 없을때 후다닥 참치감자조림,https://www.10000recipe.com/recipe/6892715,2,10,아무나,참치 감자 작은거 양파 대파 매콤하게 먹고싶으면 청양고추,고추장 고춧가루 간장 다진마늘 설탕 물 후추,https://recipe1.ezmember.co.kr/cache/recipe/2018/07/18/d65a465ab4b6dc2bacd48eecb70f5e5e1.jpg
28,전자레인지 깻잎찜. 2분 돌려 완성하는 초간단반찬.,https://www.10000recipe.com/recipe/6889106,6,15,아무나,깻잎 양파 대파,양조간장  고춧가루 마늘 액젓 설탕 물 참기름,https://recipe1.ezmember.co.kr/cache/recipe/2018/05/18/b0fc897704b64174ec5e0bcd56c7dc761.jpg
29,연두부 샐러드,https://www.10000recipe.com/recipe/6842280,4,5,아무나,연두부 어린잎채소 파프리카 양파,간장.5T 식초.5T 설탕 다진마늘 참기름 통깨,https://recipe1.ezmember.co.kr/cache/recipe/2016/01/28/4e4610ee9171513894d19d80b8c8aaea1.jpg
30,게살 텐신항:중국식?일본식? 어쨌든 초간단! 계란덮밥,https://www.10000recipe.com/recipe/6839363,1,15,초급,밥 물 양조간장 스톡이나 굴소스 맛술 전분 식초 계란 크래미맛살~4개 다진파 소금 식용유,,https://recipe1.ezmember.co.kr/cache/recipe/2015/12/08/4c0e6eef4d85dde6b34a5d1228cd09961.jpg
31,스팸 양파덮밥/스팸 돈부리,https://www.10000recipe.com/recipe/6891556,1,10,초급,양파 스팸 계란 다진마늘 파 참깨,간장 설탕 맛술 물,https://recipe1.ezmember.co.kr/cache/recipe/2018/06/27/ac1dbf84e93bba27a9e1c21597fab7e41.jpg
32,고추된장무침! 초간단하면서 맛있게 만드는 방법,https://www.10000recipe.com/recipe/6955357,6,5,초급,오이고추,된장 쌈장 고춧가루 올리고당 들기름 깨,https://recipe1.ezmember.co.kr/cache/recipe/2021/03/17/b25784b1215402045567acb1d12b35461.jpg
33,[No.1 감자새우덮밥] 고급스러운 중식덮밥,https://www.10000recipe.com/recipe/6841290,1,15,초급,감자 고추 또는,,https://recipe1.ezmember.co.kr/cache/recipe/2016/01/08/c2b4d2a0e6543e8cd9c120cbcabed00d1.jpg
34,바쁜 아침 5분 뚝딱 !맛보장 '참치계란간장밥'레시피,https://www.10000recipe.com/recipe/6894538,1,5,아무나,밥 계란 참치 대파,간장.5~2T 참기름 깨,https://recipe1.ezmember.co.kr/cache/recipe/2018/08/22/ed4298f7c819d1e00986c53c6b5e3e0f1.jpg
35,녹네 녹아.. 전자렌지 1분 30초 컷. 고소 짭짤 수란마요밥 만들기,https://www.10000recipe.com/recipe/6899367,1,5,아무나,달걀 마요네즈 굴소스 참기름,,https://recipe1.ezmember.co.kr/cache/recipe/2018/11/05/3ad58336218c24351e8ca6f08b7790111.jpg
36,[간단 자취요리] 몽쉘로 쫀득쫀득 컵브라우니 만들기!,https://www.10000recipe.com/recipe/6865340,1,5,아무나,우유~6T,초콜릿,https://recipe1.ezmember.co.kr/cache/recipe/2017/02/15/8fc58374cdba7cdf0beebac7f38ea2971.jpg
37,짭조름 간장 쏘야,https://www.10000recipe.com/recipe/6912270,2,30,아무나,양파 파프리카 비엔나소세지 물,간장 올리고당 설탕 후춧가루,https://recipe1.ezmember.co.kr/cache/recipe/2019/05/16/4a738bac5898349956c493cb2daeca0c1.jpg
38,냉파요리로 좋은 5분완성 떠먹는 컵피자 만들기,https://www.10000recipe.com/recipe/6894872,1,5,아무나,식빵 양파 샌드위치햄 캔옥수수 모짜렐라 치즈 파슬리가루,토마토 스파게티 소스,https://recipe1.ezmember.co.kr/cache/recipe/2018/08/27/b7536d6fe48c3806575a472e42e4e7181.jpg
39,삼겹살과 찰떡 궁합 ; 파채 만들기,https://www.10000recipe.com/recipe/6898283,4,15,아무나,대파 식초 간장 고춧가루 설탕 깨 참기름,,https://recipe1.ezmember.co.kr/cache/recipe/2018/10/20/c56315b520ea75b8ceda2decac155eee1.jpg
40,초간단 연두부반찬,https://www.10000recipe.com/recipe/6834258,1,5,아무나,연두부,다진파 다진청양고추 다진마늘 간장~2스푼 고춧가루 깨소금 참기름,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/13/1a2d27dc33295f34df4e4bed6e6ed3ac1.jpg
41,[간단 자취요리] 두부를 쫄깃한 고기식감으로 만들기! 두부탕수 만들기,https://www.10000recipe.com/recipe/6879543,1,15,아무나,두부 각종채소,물 식초 간장 설탕 굴소스,https://recipe1.ezmember.co.kr/cache/recipe/2017/11/14/ad85ee77d35f69c4420f32565f11ecd71.jpg
42,후다닥!!!두부 크래미 달걀볶음!,https://www.10000recipe.com/recipe/6900423,4,15,아무나,두부 크래미 달걀 당근 깻잎,소금 양파 기름 후추가루 참기름,https://recipe1.ezmember.co.kr/cache/recipe/2018/11/19/244c0057f9afe10bf158d4e6a2de30911.jpg
43,다이어트요리 두부카레볶음밥,https://www.10000recipe.com/recipe/6831876,2,15,아무나,두부 계란 우유 부추,카레가루 소금,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/13/f9dfb2399701f22355b279e825ca7de31.jpg
44,매운맛 쏙 마늘 꿀조림 만들기,https://www.10000recipe.com/recipe/6910384,2,30,아무나,간장 꿀 맛술 마늘,,https://recipe1.ezmember.co.kr/cache/recipe/2019/04/13/1bd0a756ce6621fbf3711739980726b61.jpg
45,혼밥도 즐겁게! 버터갈릭새우,https://www.10000recipe.com/recipe/6893218,1,15,아무나,칵테일새우 버터 다진마늘.5큰술 파슬리가루 꿀 소금,,https://recipe1.ezmember.co.kr/cache/recipe/2018/07/28/217a2c7c11470279c27a636d59aafd701.jpg
46,#[면역력]아이밥 참치계란밥,https://www.10000recipe.com/recipe/6922045,2,20,초급,쌀밥 참치캔 달걀 소금,,https://recipe1.ezmember.co.kr/cache/recipe/2019/11/11/658dae7a4e38765322cb8d4cca3e68ae1.jpg
47,상추비빔밥 참치쌈장에 비벼 먹으면 꿀맛!,https://www.10000recipe.com/recipe/6910254,1,10,아무나,참치캔 고추장.5큰술 간장 물엿 토마토케첩 참기름.5큰술 후추,밥 상추 달걀,https://recipe1.ezmember.co.kr/cache/recipe/2019/04/06/f790edb9ffef5e49f4b3e573116a4ee61.jpg
48,우유달걀카레 - 아침식사 거르지마세요. 초간단 15분요리,https://www.10000recipe.com/recipe/6902125,1,15,아무나,카레가루.5큰술 우유 달걀 양파 통조림 햄 제일 작은거,,https://recipe1.ezmember.co.kr/cache/recipe/2018/12/16/8d523c42974f8f5d5d7fd79bbab908e61.jpg
49,참치 알리올리오 볶음밥,https://www.10000recipe.com/recipe/6733300,1,15,초급,밥 마늘 참치 올리브유 달걀,소금,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/07/08e763f260da46e353e842819b350ded1.jpg
50,초간단 밥도둑 반찬! '깻잎스팸전'황금 레시피,https://www.10000recipe.com/recipe/6909721,2,10,아무나,스팸 계란 깻잎 밀가루,,https://recipe1.ezmember.co.kr/cache/recipe/2019/04/02/228be375ebb5a85fd0bc2a7c4194314e1.jpg
51,아침식사 굿굿! 노오븐 에어프라이어 스위트콘 콘옥수수 치즈 모닝빵,https://www.10000recipe.com/recipe/6928224,1,10,아무나,모닝빵 스위트콘 모짜렐라치즈,머스타드 마요네즈 후추,https://recipe1.ezmember.co.kr/cache/recipe/2020/03/11/16479991109978c742da010ff1457f831.jpg
52,"노오븐 브라우니 만들기 (따뜻한 겨울 간식,초간단)",https://www.10000recipe.com/recipe/6904938,1,5,초급,밀가루 ,,https://recipe1.ezmember.co.kr/cache/recipe/2019/01/21/8e0cdedbf2f895c9aa65929682dbb0851.jpg
53,"참치쌈장 만드는 법, 짜지 않고 맛있어요!",https://www.10000recipe.com/recipe/6880978,4,15,초급,참치캔  양파 대파 청양고추 된장 고추장 고춧가루 다진 마늘 물+1/2컵 설탕 참기름 통깨,,https://recipe1.ezmember.co.kr/cache/recipe/2017/12/15/66a7e1c737087b0a8737492fd40a507a1.jpg
54,겨자 한 스푼으로 느끼함 잡아주는 오이맛살마요무침~,https://www.10000recipe.com/recipe/6868911,2,15,아무나,오이 맛살,굵은소금 설탕 식초 연겨자 마요네즈 검은깨,https://recipe1.ezmember.co.kr/cache/recipe/2017/04/24/16e0cf6b33c5bf65dc14c95e7b2c63cf1.jpg
55,깔끔고소한 아침국~~들깨무국,https://www.10000recipe.com/recipe/6915735,2,15,아무나,채썬 무 대파 물,들깨가루 소금 참기름,https://recipe1.ezmember.co.kr/cache/recipe/2019/07/11/e35399cd4afecaa53e194ef96b827a3a1.jpg
56,【초간단】전자렌지로 꽈리고추찜 만들기~,https://www.10000recipe.com/recipe/6887446,2,10,아무나,꽈리고추~30개 부침가루,고춧가루 간장 매실액 올리고당 다진대파 다진마늘 참기름,https://recipe1.ezmember.co.kr/cache/recipe/2018/04/17/e301f226e826e43a11e70a8f19cf8f3f1.jpg
57,감자베이컨치즈~전자렌지의 세계가 무한합니다^^♡,https://www.10000recipe.com/recipe/6895759,3,15,초급,감자 중 체다치즈 베이컨 모짜렐라치즈 스파게티소스 소금 설탕 파슬리가루,,https://recipe1.ezmember.co.kr/cache/recipe/2018/09/12/e3a71664816ab7013023d580ab5dc3ab1.jpg
58,1분완성 핵꿀맛 간식 토스트!완전 강추드려요!,https://www.10000recipe.com/recipe/6895448,1,5,아무나,식빵 슬라이스치즈 캔옥수수,버터 설탕,https://recipe1.ezmember.co.kr/cache/recipe/2018/09/07/444c85b7e11e62d31d142e64fd2b6d581.jpg
59,신전보다 맛있는 스팸마요 덮밥,https://www.10000recipe.com/recipe/6929691,1,10,초급,스팸 계란 마요네즈 김,진간장 물 설탕,https://recipe1.ezmember.co.kr/cache/recipe/2020/04/01/2ff2c525219ce285392c7404e8df3b2c1.jpg
60,간단요리 계란 양파덮밥 혼밥 자취레시피,https://www.10000recipe.com/recipe/6920148,1,10,아무나,양파 계란 간장 맛술 설탕 물,,https://recipe1.ezmember.co.kr/cache/recipe/2019/10/05/22ab8bbcf9fd28b70c2046243759cd3f1.jpg
61,맛남의광장 성시경레시피~머쉬마루버섯 버터간장구이,https://www.10000recipe.com/recipe/6958565,4,10,아무나,머쉬마루 버섯 버터 간장 통깨 식용유,,https://recipe1.ezmember.co.kr/cache/recipe/2021/05/18/9f88d6a5e15376ff029533c6667882f21.jpg
62,허니맥나잇 만들기,https://www.10000recipe.com/recipe/6829888,2,15,아무나,버터 수저 치즈 계란 후추,,https://recipe1.ezmember.co.kr/cache/recipe/2015/07/10/985f8a912e1a830ee3c79989f77698121.jpg
63,엥 이거 완전 꿀조합 아니냐.. 오레오 치즈케이크 만들기!,https://www.10000recipe.com/recipe/6873390,6,5,아무나,크림치즈 설탕 달걀 우유,,https://recipe1.ezmember.co.kr/cache/recipe/2017/07/25/c5f49dfaeef1cf94651d7eef222cb5b71.png
64,[간단 자취요리] 콘꼬노미야끼 만들기,https://www.10000recipe.com/recipe/6872282,1,15,아무나,참치,,https://recipe1.ezmember.co.kr/cache/recipe/2017/07/05/8e9ebde52cc124b66d3ec4e4bc01ba761.jpg
65,진짬뽕투움바파스타 만드는법 !,https://www.10000recipe.com/recipe/6939035,1,15,아무나,베이컨 체다슬라이스치즈 양파 우유,,https://recipe1.ezmember.co.kr/cache/recipe/2020/08/12/b6a360ecc19b2ddc679664b31eae122d1.jpg
66,새우 is 뭔들~ 카레버터새우볶음,https://www.10000recipe.com/recipe/6857754,3,15,아무나,새우 양파 당근 마늘 청양고추-2개 식용유 버터 카레가루.5T 후추 소금,청주 소금 후추,https://recipe1.ezmember.co.kr/cache/recipe/2016/10/01/1ecfd9aa242318d78de1a782005fc0841.jpg
67,쑥갓두부무침~초간단반찬,https://www.10000recipe.com/recipe/6911174,2,15,아무나,쑥갓 두부 굵은소금,소금 참기름 통깨,https://recipe1.ezmember.co.kr/cache/recipe/2019/04/26/0f4f704e75bc0d2765c5abd5512495bc1.jpg
68,[초간단 노오븐 베이킹] 5분완성 브라우니 만들기,https://www.10000recipe.com/recipe/6868357,1,5,아무나,계란 설탕 큰 데코용 딸기,,https://recipe1.ezmember.co.kr/cache/recipe/2017/04/13/cab42c4a34388ab5c11e650cbe226a6e1.jpg
